necta,subdivision_name,fips_state,fips_county,fips_subdivision
Micropolitan NECTA,Richmond town,23,023,62645
Micropolitan NECTA,Topsham town,23,023,76960
Micropolitan NECTA,West Bath town,23,023,81930
Micropolitan NECTA,Woolwich town,23,023,87460
Metropolitan NECTA,Bristol town,50,001,09025
Metropolitan NECTA,Ferrisburgh town,50,001,26300
Metropolitan NECTA,Monkton town,50,001,45550
Metropolitan NECTA,Starksboro town,50,001,70075
Metropolitan NECTA,Vergennes city,50,001,74650
Metropolitan NECTA,Bolton town,50,007,06550
Metropolitan NECTA,Burlington city,50,007,10675
Metropolitan NECTA,Charlotte town,50,007,13300
Metropolitan NECTA,Colchester town,50,007,14875
Metropolitan NECTA,Essex town,50,007,24175
Metropolitan NECTA,Hinesburg town,50,007,33475
Metropolitan NECTA,Huntington town,50,007,34600
Metropolitan NECTA,Jericho town,50,007,36700
Metropolitan NECTA,Milton town,50,007,45250
Metropolitan NECTA,Richmond town,50,007,59275
Metropolitan NECTA,St. George town,50,007,62050
Metropolitan NECTA,Shelburne town,50,007,64300
Metropolitan NECTA,South Burlington city,50,007,66175
Metropolitan NECTA,Underhill town,50,007,73975
Metropolitan NECTA,Westford town,50,007,80350
Metropolitan NECTA,Williston town,50,007,84475
Metropolitan NECTA,Winooski city,50,007,85150
Metropolitan NECTA,Bakersfield town,50,011,02500
Metropolitan NECTA,Fairfax town,50,011,24925
Metropolitan NECTA,Fairfield town,50,011,25225
Metropolitan NECTA,Fletcher town,50,011,26500
Metropolitan NECTA,Georgia town,50,011,27700
Metropolitan NECTA,St. Albans city,50,011,61675
Metropolitan NECTA,St. Albans town,50,011,61750
Metropolitan NECTA,Swanton town,50,011,71725
Metropolitan NECTA,Grand Isle town,50,013,29275
Metropolitan NECTA,North Hero town,50,013,50650
Metropolitan NECTA,South Hero town,50,013,67000
Metropolitan NECTA,Cambridge town,50,015,11500
Metropolitan NECTA,Duxbury town,50,023,18550
Micropolitan NECTA,Claremont city,33,019,12900
Micropolitan NECTA,Unity town,33,019,77940
Micropolitan NECTA,Boscawen town,33,013,06260
Micropolitan NECTA,Bow town,33,013,06500
Micropolitan NECTA,Canterbury town,33,013,09860
Micropolitan NECTA,Chichester town,33,013,12420
Micropolitan NECTA,Concord city,33,013,14200
Micropolitan NECTA,Epsom town,33,013,24900
Micropolitan NECTA,Hopkinton town,33,013,37540
Micropolitan NECTA,Loudon town,33,013,43380
Micropolitan NECTA,Salisbury town,33,013,66980
